registration_number,material_name,material_category,manufacturer_name,product_category,geographical_scope,country_of_origin,gwp_a1a3,gwp_unit,declared_unit,life_cycle_stages,epd_programme_operator,year_published,valid_until,epd_url
EPD-IES-0031470:004,"TMT Bars, Bhilai Steel Plant- Steel Authority of India Limited (SAIL)",Steel & Metal,Steel Authority of India Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31470
EPD-IES-0030960:004,Building,Other,ITC Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd30960
EPD-IES-0031770:002,TAP® Acoustics Panel,Insulation & Acoustic,Times Fibrefill Pvt Ltd,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31770
EPD-IES-0032037:001,SGG Mirror on Planilux 4 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd32037
EPD-IES-0032055:001,SGG Mirror on Planilux® 5 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd32055
EPD-IES-0032059:001,SGG Mirror on Planilux® 6 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd32059
EPD-IES-0022355:003,Windor Mono Modular Single Glass Partition System,Glass & Glazing,Windor India Pvt Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22355
EPD-IES-0022356:002,Windor Duplus Modular Double Glass Partition System,Glass & Glazing,Windor India Pvt Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22356
EPD-IES-0032024:001,Windor Modular Single Leaf Single Glazed Style Door System,Furniture & Fittings,Windor India Pvt Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd32024
EPD-IES-0032026:001,Windor Modular Single Leaf Double Glazed Style Door System,Furniture & Fittings,Windor India Pvt Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd32026
EPD-IES-0032027:001,Windor 48.5mm Thick Laminate Finished Flush Door with Hardware Product,Other,Windor India Pvt Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd32027
EPD-IES-0031930:002,Raised Access Floor Panels,Other,PWS Floors LLP,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31930
EPD-IES-0029294:001,Portland Slag Cement/ Concreel HD,Concrete & Cement,JSW Cement Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd29294
EPD-IES-0031818:001,GYPROC® Gypboard® Effectiv' 12.5 mm,Concrete & Cement,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31818
EPD-IES-0031183:001,Steel Rope Products,Steel & Metal,USHA MARTIN LIMITED,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31183
EPD-IES-0031184:001,LRPC Strand Products,Steel & Metal,USHA MARTIN LIMITED,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31184
EPD-IES-0031182:001,Steel Wire Products,Steel & Metal,USHA MARTIN LIMITED,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31182
EPD-IES-0025022:003,JK Tyre- 295/80R22.5_JUL1_16PR_TL_E,Steel & Metal,JK Tyre & Industries Ltd.,"Metal, mineral, plastic & glass products",Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd25022
EPD-IES-0025021:003,JK Tyre- 215/55R18 UX Royale,Steel & Metal,JK Tyre & Industries Ltd.,"Metal, mineral, plastic & glass products",Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd25021
EPD-IES-0025023:003,JK Tyre- 235/75R17.5 JUH5 ALL STEEL 14PR,Steel & Metal,JK Tyre & Industries Ltd.,"Metal, mineral, plastic & glass products",Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd25023
EPD-IES-0031496:002,Healthcare Beds,Other,Godrej & Boyce Manufacturing Company Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31496
EPD-IES-0031358:002,Seating (Chairs),Furniture & Fittings,Godrej & Boyce Manufacturing Company Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31358
EPD-IES-0031377:001,Flexivate- Height Adjustable Tables,Furniture & Fittings,Talin Modular Office Furniture Systems Pvt. Ltd.,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31377
EPD-IES-0027273:002,L'LIOS 580-600 Wp N-Type Topcon 16BB Bifacial (Glass to Glass) Solar Photovoltaic Module,Concrete & Cement,RAYZON SOLAR LIMITED,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27273
EPD-IES-0031490:002,Storage,Furniture & Fittings,Godrej & Boyce Manufacturing Company Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31490
EPD-IES-0025339:002,OPOS,Other,Godrej & Boyce Manufacturing Company Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd25339
EPD-IES-0031281:002,Desking,Furniture & Fittings,Godrej & Boyce Manufacturing Company Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31281
EPD-IES-0031177:001,Steel Wire,Steel & Metal,USHA MARTIN LIMITED,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31177
EPD-IES-0031180:001,Steel Rope,Steel & Metal,USHA MARTIN LIMITED,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31180
EPD-IES-0012013:005,Ductile Iron Pipe,Steel & Metal,Jindal SAW Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd12013
EPD-IES-0031101:001,Acsilo Cellulose Fiber Acoustic Spray,Insulation & Acoustic,Tranquil,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31101
EPD-IES-0031137:001,Mass Loaded Vinyl (MLV),Insulation & Acoustic,Tranquil,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31137
EPD-IES-0031140:004,ELARA Fibreglass Panel,Glass & Glazing,Tranquil,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31140
EPD-IES-0031141:001,ECOCORE PET Panel,Insulation & Acoustic,Tranquil,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31141
EPD-IES-0031145:001,Wooden Acoustic Panels - Woodline & Ecowood,Timber & Wood,Tranquil,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31145
EPD-IES-0031097:002,Magnelis (Metallic Coated Sheet),Steel & Metal,ArcelorMittal Nippon Steel India Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31097
EPD-IES-0029223:002,Optigal (Metallic colour coated steel),Steel & Metal,ArcelorMittal Nippon Steel India Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd29223
EPD-IES-0031048:001,Ordinary Portland Cement,Concrete & Cement,Ambuja Cements Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31048
EPD-IES-0031051:001,Ordinary Portland Cement,Concrete & Cement,ACC Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd31051
EPD-IES-0030221:002,WOOD WOOL BOARD - NISHABD STRAND,Steel & Metal,MECHTRIX ENGINEERS LLP,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd30221
EPD-IES-0029315:002,6HI Cold Rolling Mill 1250MM@1100MPM,Machinery & Equipment,Yogiji Digi Limited,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd29315
EPD-IES-0028927:001,Powder Coated Aluminium Extruded Profiles,Aluminium,BHORUKA EXTRUSIONS PRIVATE LIMITED,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28927
EPD-IES-0029293:001,Modular Chairs,Furniture & Fittings,Featherlite Furniture,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd29293
EPD-IES-0005172:001,Steel Hot Rolled Coil,Steel & Metal,JSW Steel Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd5172
EPD-IES-0025435:001,Cold Rolled Closed Annealed Coil,Steel & Metal,JSW Steel Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd25435
EPD-IES-0020876:002,"Ductile Iron Pipes of C30 Pressure Class, including Ductile Iron Fittings",Steel & Metal,Electrosteel Castings Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20876
EPD-IES-0020877:002,"Ductile Iron Pipes of C40 Pressure Class, including Ductile Iron Fittings",Steel & Metal,Electrosteel Castings Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20877
EPD-IES-0020878:002,"Ductile Iron Pipes of C25 Pressure Class, including Ductile Iron Fittings",Steel & Metal,Electrosteel Castings Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20878
EPD-IES-0028871:001,Tapi Trans Dual Series: M10R,Other,Solex Energy Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28871
EPD-IES-0028872:001,Tapi-R Series: G12R,Other,Solex Energy Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28872
EPD-IES-0028287:001,"Aluminium Billet ""Continuum""",Aluminium,CMR Green Technologies Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28287
EPD-IES-0028470:006,75 KVA Oil filled Transformer 10395C,Machinery & Equipment,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28470
EPD-IES-0028471:005,150 KVA Oil filled Transformer 8175I,Machinery & Equipment,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28471
EPD-IES-0028472:005,150 KVA Oil filled Transformer 10396E,Machinery & Equipment,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28472
EPD-IES-0028473:005,400 KVA Oil filled Transformer 08174E,Machinery & Equipment,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28473
EPD-IES-0028474:005,500 KVA Oil filled Transformer 08178E,Machinery & Equipment,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28474
EPD-IES-0028934:003,400 KVA Oil filled Transformer 8493H,Machinery & Equipment,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28934
EPD-IES-0015922:001,"Life Cycle Assessment of Minesform 8PVF, OceanMax 35, Powerfrom 8P",Other,USHA MARTIN LIMITED,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd15922
EPD-IES-0028392:003,NTOPCON BIFACIAL G12R,Concrete & Cement,Saatvik Green Energy Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28392
EPD-IES-0014193:004,Conference Table,Furniture & Fittings,KOKUYO Workplace India Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd14193
EPD-IES-0014194:002,Desking Products,Furniture & Fittings,KOKUYO Workplace India Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd14194
EPD-IES-0014195:004,Avail Height Adjustable Desk,Furniture & Fittings,KOKUYO Workplace India Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd14195
EPD-IES-0015163:002,Storage Systems,Furniture & Fittings,KOKUYO Workplace India Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd15163
EPD-IES-0015164:002,Chair,Furniture & Fittings,KOKUYO Workplace India Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd15164
EPD-IES-0028653:001,Steel Flange,Steel & Metal,Echjay Forgings Pvt. Ltd.,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28653
EPD-IES-0028340:002,Pile Gripper,Other,IRM OFFSHORE AND MARINE ENGINEERS PVT.LTD.,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28340
EPD-IES-0028618:001,Ikkita Chair-Alankaram,Furniture & Fittings,Alankaram,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28618
EPD-IES-0028623:001,Mesa Dinning Table-Alankaram,Furniture & Fittings,Alankaram,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28623
EPD-IES-0028226:002,Penebiotech Green M+,Chemical Products,Penetron Products Pvt. Ltd.,Chemical products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28226
EPD-IES-0028227:002,Penebiotech Trapbom,Chemical Products,Penetron Products Pvt. Ltd.,Chemical products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28227
EPD-IES-0028228:002,Penebiotech WB Clean,Chemical Products,Penetron Products Pvt. Ltd.,Chemical products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28228
EPD-IES-0027634:001,Unitized Curtain Wall U-8000,Glass & Glazing,Glass Wall Systems India Ltd,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27634
EPD-IES-0028173:001,Punched Window – PW - 450,Glass & Glazing,Glass Wall Systems India Ltd,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28173
EPD-IES-0028218:001,Store Front SF-102,Other,Glass Wall Systems India Ltd,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28218
EPD-IES-0028246:001,Window Wall WW-9500,Glass & Glazing,Glass Wall Systems India Ltd,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28246
EPD-IES-0028248:001,Unitized Curtain Wall- U-140,Glass & Glazing,Glass Wall Systems India Ltd,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28248
EPD-IES-0016475:003,ER 1711®,Steel & Metal,SAINT-GOBAIN INDIA PRIVATE LIMITED-SEPR India,"Metal, mineral, plastic & glass products",Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd16475
EPD-IES-0027946:001,ER 1685,Steel & Metal,SAINT-GOBAIN INDIA PRIVATE LIMITED-SEPR India,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27946
EPD-IES-0027947:001,ER 1699,Steel & Metal,SAINT-GOBAIN INDIA PRIVATE LIMITED-SEPR India,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27947
EPD-IES-0027949:001,Jargal®,Steel & Metal,SAINT-GOBAIN INDIA PRIVATE LIMITED-SEPR India,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27949
EPD-IES-0027945:001,ER 1681®,Steel & Metal,SAINT-GOBAIN INDIA PRIVATE LIMITED-SEPR India,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27945
EPD-IES-0027948:001,ER 1851®,Steel & Metal,SAINT-GOBAIN INDIA PRIVATE LIMITED-SEPR India,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27948
EPD-IES-0017309:005,Restora Ultra,Other,VEDANTA ALUMINIUM LIMITED,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17309
EPD-IES-0017334:005,Restora,Other,VEDANTA ALUMINIUM LIMITED,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17334
EPD-IES-0026930:001,Alu-Zinc Coated Steel in Sheets & Coils,Steel & Metal,APL Apollo Building Products Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26930
EPD-IES-0026931:001,Pre-Painted Alu-Zinc Coated Steel in Sheets & Coils,Steel & Metal,APL Apollo Building Products Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26931
EPD-IES-0026932:001,Galvanized Steel in Sheets & Coils,Steel & Metal,APL Apollo Building Products Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26932
EPD-IES-0026933:001,Pre-Painted Galvanized Steel in Sheets & Coils,Steel & Metal,APL Apollo Building Products Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26933
EPD-IES-0026934:001,"MS Tubes, Pipes & Hollow Section",Steel & Metal,APL Apollo Building Products Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26934
EPD-IES-0026935:001,GP Tubes & Pipes,Steel & Metal,APL Apollo Building Products Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26935
EPD-IES-0028105:001,SGG REFLECTASOL® on PLANILUX® 4 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28105
EPD-IES-0028104:001,SGG REFLECTASOL® on PLANILUX® 3.5 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28104
EPD-IES-0028107:001,SGG REFLECTASOL® on PLANILUX® 5 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28107
EPD-IES-0028103:001,SGG REFLECTASOL® on PARSOL® 6 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28103
EPD-IES-0028100:001,SGG REFLECTASOL® on PARSOL® 3.5 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28100
EPD-IES-0026799:001,SGG REFLECTASOL® on PARSOL® 4 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26799
EPD-IES-0028102:001,SGG REFLECTASOL® on PARSOL® 5 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28102
EPD-IES-0028269:001,Colormaxx 4mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28269
EPD-IES-0028283:001,Colormaxx 5mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28283
EPD-IES-0028285:001,Colormaxx 6mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28285
EPD-IES-0028303:001,Colormaxx Dura 4mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28303
EPD-IES-0028304:001,Colormaxx Dura 5mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28304
EPD-IES-0028305:001,Colormaxx Dura 6mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28305
EPD-IES-0026136:001,Coal-Based Direct Reduced Iron product,Steel & Metal,Lloyds Metals and Energy Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26136
EPD-IES-0021402:002,ACSR Duck,Other,STERLITE POWER TRANSMISSION LTD,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21402
EPD-IES-0025485:001,Satin Silver® & Satin Silver® Supreme - Khopoli,Other,Tata BlueScope Steel Pvt. Ltd.,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd25485
EPD-IES-0027452:001,Elastomeric Bearing,Other,mageba bridge products private limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27452
EPD-IES-0027515:001,ZymeFlow Rezyd-HP Z71,Chemical Products,CR3 Group,Chemical products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27515
EPD-IES-0027516:001,ZymeFlow Super Tank Zyme Z21,Chemical Products,CR3 Group,Chemical products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27516
EPD-IES-0027517:001,ZymeFlow Zyme-OX plus Z50,Chemical Products,CR3 Group,Chemical products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27517
EPD-IES-0026208:002,Smart Locker,Other,Fonzel Office Solutions Pvt. Ltd.,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26208
EPD-IES-0026555:002,Monitor Arm (Apollo4 & A20+ Series),Other,Modtec Industries India Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26555
EPD-IES-0021818:001,Spring Steel Wire,Steel & Metal,Tata Steel Limited,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21818
EPD-IES-0021820:001,Galvanized Wire,Steel & Metal,Tata Steel Limited,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21820
EPD-IES-0021821:001,Low Relaxed Pre-stressed concrete (LRPC) Wire,Concrete & Cement,Tata Steel Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21821
EPD-IES-0009223:004,SGG PARSOL® 6 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd9223
EPD-IES-0007804:003,Austenitic Cold Rolled Annealed Pickled Sheets and Coils,Steel & Metal,Jindal Stainless Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd7804
EPD-IES-0007840:002,Austenitic Hot Rolled Annealed Pickled Plates and Coils,Steel & Metal,Jindal Stainless Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd7840
EPD-IES-0026582:002,Ferritic Hot Rolled Annealed Pickled Plates and Coils,Steel & Metal,Jindal Stainless Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26582
EPD-IES-0026583:002,Ferritic Cold Rolled Annealed Pickled Sheets and Coils,Steel & Metal,Jindal Stainless Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26583
EPD-IES-0024698:003,"Alu-Zinc Coated, Galvanised and Pre-painted steel coil,sheets and profile",Steel & Metal,Colorshine Coated Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24698
EPD-IES-0024631:002,Knauf India Ultraframe Metal Profiles,Steel & Metal,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24631
EPD-IES-0024648:002,Knauf India All Purpose Joint Compound,Other,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24648
EPD-IES-0024244:002,VDS® SWING DOOR frame,Other,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24244
EPD-IES-0004492:002,Radiant Baffle,Other,Infosys,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd4492
EPD-IES-0023919:002,Satin Silver® & Satin Silver® Supreme - Meramandali,Other,Tata BlueScope Steel Pvt. Ltd.,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd23919
